Vietnam (million kW),Capacity,Nuclear,Fossil fuels,Renewables,Hydroelectricity,Non-hydroelectric renewables,Geothermal,"Solar, tide, wave, fuel cell",Tide and wave, Solar,Wind,Biomass and waste,Hydroelectric pumped storage,Electric power transmission and distribution losses,Population,FDI,Electric power consumption,GDP,GDP Growth
1980,1.17,0,0.89,0.28,0.28,0,0,0,0,0,0,0,0,17.67350379,54281846,0,53.97753054,35357,-0.035
1981,1.18,0,0.9,0.28,0.28,0,0,0,0,0,0,0,0,18.35408771,55522803,0,54.32002415,17617,0.058
1982,1.19,0,0.91,0.28,0.28,0,0,0,0,0,0,0,0,18.1402439,56814306,0,56.71106851,23369,0.082
1983,1.22,0,0.92,0.3,0.3,0,0,0,0,0,0,0,0,18.21374812,58148384,0,56.06346687,35204,0.071
1984,1.45,0,1,0.45,0.45,0,0,0,0,0,0,0,0,19.0874843,59512619,0,64.96101272,61171,0.084
1985,1.55,0,1.08,0.47,0.47,0,0,0,0,0,0,0,0,18.30735845,60896721,0,68.00037723,19045,0.056
1986,1.65,0,1.16,0.49,0.49,0,0,0,0,0,0,0,0,19.9746698,62293856,0,71.0021868,43009,0.034
1987,1.75,0,1.24,0.51,0.51,0,0,0,0,0,0,0,0,18.21186581,63701972,0,77.6899026,53385,0.025
1988,1.85,0,1.32,0.53,0.53,0,0,0,0,0,0,0,0,18.71775976,65120439,0,84.68923252,29501,0.051
1989,1.95,0,1.4,0.55,0.55,0,0,0,0,0,0,0,0,21.64696814,66550234,0,91.64505718,7991,0.078
1990,2.155,0,1.48,0.675,0.675,0,0,0,0,0,0,0,0,25.4002995,67988862,0,95.25089565,8217,0.05
1991,2.3,0,1.55,0.75,0.75,0,0,0,0,0,0,0,0,25.52660152,69436954,0,98.78025468,9704,0.058
1992,2.935,0,1.55,1.385,1.385,0,0,0,0,0,0,0,0,25.61566203,70883481,0,101.8431925,12528,0.087
1993,3.41,0,1.55,1.86,1.86,0,0,0,0,0,0,0,0,24.0105046,72300308,0,112.0603802,16736,0.081
1994,4.05,0,1.55,2.5,2.5,0,0,0,0,0,0,0,0,22.49348958,73651218,0,129.312186,20712,0.088
1995,4.43,0,1.55,2.88,2.88,0,0,0,0,0,0,0,0,21.70262152,74910461,0,153.1027823,26407,0.095
1996,4.648,0,1.756,2.892,2.892,0,0,0,0,0,0,0,0,19.26345609,76068743,2395000000,179.8373348,31352,0.093
1997,4.895,0,2.003,2.892,2.892,0,0,0,0,0,0,0,0,18.19987456,77133214,2220000000,202.8957331,34146,0.082
1998,5.703,0,2.811,2.892,2.892,0,0,0,0,0,0,0,0,16.09184803,78115710,1671000000,232.962102,34580,0.058
1999,5.643,0,2.781,2.862,2.862,0,0,0,0,0,0,0,0,15.02186001,79035871,1412000000,253.3027061,36444,0.048
2000,6.38,0,2.957,3.423,3.292,0.131,0,0.001,0,0.001,0,0.13,0,13.76830692,79910412,298000000,286.6209725,39585,0.068
